orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,expDate,ean
lotte202606230623-1001,T07A0393-0,BJ9339,LOTTE脆脆巧克力派-濃厚可可風味,140,700,,6/23-1,2027/02/28,14903333257451
lotte202606230623-1002,T07A0454-0,BJ9339,LOTTE脆脆巧克力派-濃厚可可風味,140,700,,6/23-1,2027/02/28,14903333257451
lotte202606230623-4001,A19B1343-0,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),60,720,,6/23-4,2026/12/01,18801062899613
lotte202606230623-4002,A19B1363-0,BK0049,LOTTE 蛋黃派－香甜草莓風味(6顆裝),60,720,,6/23-4,2026/12/01,18801062899613
lotte202606230623-2001,T06A0153-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2002,T06A0154-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2003,T06A0173-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2004,T06A0193-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2005,T06A0194-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2006,T06A0252-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2007,T06B0343-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2008,T06B0462-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2009,T07A0013-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-2010,T07A0073-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-2,2026/12/01,18801062899590
lotte202606230623-4003,T07A0114-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-4,2026/12/01,18801062899590
lotte202606230623-4004,T07A0153-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),42,336,,6/23-4,2026/12/01,18801062899590
lotte202606230623-2011,B03B0682-0,BK9070,LOTTE 黑巧克力派(6顆裝),60,960,,6/23-2,2027/04/08,28801062475159
lotte202606230623-2012,T06A0135-0,BK9070,LOTTE 黑巧克力派(6顆裝),60,960,,6/23-2,2027/04/08,28801062475159
